Timestamp (UTC),Day created,Time created,Content,Total Likes,Total Comments,Total Shares,Post Type
Tue Oct 18 12:05:21 UTC 2016,Tuesday,12:05:21,Our CEO Brian Stann is getting attention outside the UFC as well. Check out his blog item that was in The Huffington Post last friday  -,47,1,5,LINK
Mon Oct 17 18:40:12 UTC 2016,Monday,18:40:12,Who do you know that served in the U.S. military? Share your stories and your photos during a special Veterans Day social media campaign that we'll be running November 4-13. More details soon - #WhosYourHero,119,9,54,VIDEO
Mon Oct 17 14:20:11 UTC 2016,Monday,14:20:11,"Register now for our upcoming USO Transition 360 workshops in Colorado Springs, CO and  Tampa, FL! You can always check out all our upcoming workshops - and register for them - on our website:",8,0,2,LINK
Mon Oct 17 13:50:35 UTC 2016,Monday,13:50:35,"Did you know:  More than 95% of our clients would recommend our free services to their transitioning, unemployed or underemployed veteran peers? Register for our free services today.",12,0,4,LINK
Sat Oct 15 14:25:26 UTC 2016,Saturday,14:25:26,"This is such an awesome effort! Thanks to Jiu Jitsu In the Park for ALL of their support of our mission. What a fun event! Thanks, too, to everyone who will be attending and helping to raise money so that Hire Heroes USA can assist event more veterans and transitioning military members.",2,0,0,PHOTO
Sat Oct 15 01:22:01 UTC 2016,Saturday,1:22:01,"Our CEO Brian Stann has a Blog item in The Huffington Post today - 

check it out:",27,0,16,LINK
Fri Oct 14 14:00:01 UTC 2016,Friday,14:00:01,"Before ""Green Acres,"" this Hollywood star served in the U.S. Navy. Find out why actor Eddie Albert was more than just a Hollywood legend in this week's Veteran Spotlight.",9,0,0,LINK
Thu Oct 13 14:53:30 UTC 2016,Thursday,14:53:30,"“Anchors Aweigh!” and Happy 241st  birthday to the U.S. Navy. Since its birth in 1775, the U.S. Navy has been involved in more than 10 major wars and countless battles. From its towering battleships to its soaring F-18s,  it has played an integral role in America’s long history. Check the link below to learn some lesser known facts about the U.S. Navy.",15,0,3,VIDEO
Wed Oct 12 14:02:45 UTC 2016,Wednesday,14:02:45,"The Walmart Foundation is an important part of our Hire Heroes USA team and a big supporter of our military and veterans. It is because of generous funders like these that we are able to do what we do best: empower transitioning military, veterans and their spouses to succeed in the civilian workforce. Learn more about Walmart's support of our military at the link below. #‎veterans #‎military",8,0,0,LINK
Tue Oct 11 18:35:26 UTC 2016,Tuesday,18:35:26,"Don't miss these free opportunities to better prepare yourself for the civilian workforce. Learn more and register now for our upcoming workshops in New York City, NY and Colorado Springs,  CO.",3,0,0,LINK
Tue Oct 11 15:30:00 UTC 2016,Tuesday,15:30:00,"Hey, it's Tuesday! That means another Minute Tip from Hire Heroes USA. This week's topic: Interview Do's and Don'ts.",24,1,4,VIDEO
Mon Oct 10 12:40:39 UTC 2016,Monday,12:40:39,Veterans and military members: Your first steps out of the military are important. Register with Hire Heroes USA today to start your search for a civilian career.,13,0,8,LINK
Sat Oct 08 17:43:47 UTC 2016,Saturday,17:43:47,"Here is a short behind-the-scenes video we put together as a ""Thank You"" to the MINI John Cooper Works Racing Team and Driver/Army veteran Mark Pombo. They provided four of our veterans a remarkable opportunity to work on Mark's pit crew for their race at Road Atlanta. We were grateful to be included. The IMSA Continental Tire Sports Car Challenge airs on FS1 Sunday (check your local cable/satellite listings for time).",31,2,16,VIDEO
Fri Oct 07 23:20:22 UTC 2016,Friday,23:20:22,"Are you wondering how you can help veterans? Or if you’re even qualified to help? If you’re knowledgeable about any industry, job or skill set then you can and you are! Join us as a volunteer today: https://www.hireheroesusa.org/volunteers/",45,1,13,LINK
Fri Oct 07 14:02:43 UTC 2016,Friday,14:02:43,"Before he was the “Man in Black,” he was the man in airman blue. 



In this week’s Veteran Spotlight: Music legend Johnny Cash, who served as a member of the intelligence community during the Cold War. Find out more about his military career in the video below and this  amazing article: http://www.matthewaid.com/post/18219506281/johnny-cash-radio-intercept-operator",7,0,1,VIDEO
Thu Oct 06 17:03:03 UTC 2016,Thursday,17:03:03,"Check out Hire Heroes USA  ever-growing list of partner organizations that - together - offer a wide variety of training programs for transitioning military members, veterans and military spouses? The information is always available on our website, so check it out, and visit regularly. We are always adding new opportunities.",20,0,7,LINK
Wed Oct 05 20:26:21 UTC 2016,Wednesday,20:26:21,"It is with great sadness that we learned today of the untimely death of our friend and supporter Josh Samman. When he wasn't training or fighting, Josh was often rocking our gear and repping our nonprofit as he traveled around the world. We will remember him always for his unwavering support of our mission and the men & women who have served in our armed forces. Our thoughts and prayers are with his family and friends at this very difficult time. God bless you Josh -",19,3,13,PHOTO
Wed Oct 05 14:42:49 UTC 2016,Wednesday,14:42:49,"Hire Heroes USA is teaming up with ""The Scott Guy"" in a special promotion with the Kimberly-Clark Corporation on Scott Shop Towels. We are so excited about this opportunity!",12,0,0,LINK
Wed Oct 05 13:57:19 UTC 2016,Wednesday,13:57:19,Find Latest Hire Heroes USA News on our Website & Social Media,4,0,2,STATUS
Tue Oct 04 16:37:50 UTC 2016,Tuesday,16:37:50,Thanks to Boeing for its continued support of our efforts in California!,8,0,0,LINK
Tue Oct 04 15:30:00 UTC 2016,Tuesday,15:30:00,"Tuesdays are...well, Tuesdays. In a bid to liven them up a bit and help us all get through the week, we're launching a new project, called ""Minute Tips."" This week's topic: Thank You notes.",29,1,12,VIDEO
Mon Oct 03 21:54:38 UTC 2016,Monday,21:54:38,"Congratulations to our Hire Heroes USA team in Raleigh, NC for achieving 1,000+ hires so far in 2016 - Andrew, Johnathan, Ashley, Kelly, Molly, Kristen, Danielle, Yesenia, Briana, and Marshall (not in photo). Our entire team across the country has a real passion for transitioning military members, veterans and military spouses and it's on display every day. We are grateful to these men and women for their their tireless efforts to empower others and make a real  difference in the lives of those who have served this great country. #WeLoveWhatWeDo #empowervets",53,5,3,PHOTO
Mon Oct 03 20:00:09 UTC 2016,Monday,20:00:09,Here is the all-veteran pitstop during the race on Friday at Road Atlanta. See the race this Sunday (9 Oct) on FoxSports1 at 11aET.,22,1,0,VIDEO
Mon Oct 03 13:50:40 UTC 2016,Monday,13:50:40,"Military members, veterans and military spouses:  Start your Monday off right by starting your job search off right. Register for our free career coaching services today.",18,1,3,LINK
Sat Oct 01 19:11:01 UTC 2016,Saturday,19:11:01,Congrats to our colleague Spencer Milo for completing his 3rd Warrior 100K with Pres. George W. Bush today - http://www.bushcenter.org/explore-our-work/taking-action/team-43-sports/w-100-k.html,254,6,16,PHOTO
Sat Oct 01 15:57:32 UTC 2016,Saturday,15:57:32,"Here's some video of our veteran pit crew at pit practice this week before the big race. Thanks to MINI John Cooper Works Racing Team for this exciting and empowering opportunity. What an experience! These vets each had relevant experience but had never done anything like this before, and they performed really well in the race. You can see the it on FoxSports1 - IMSA Continental SportsCar Challenge.",22,1,3,VIDEO
Sat Oct 01 12:46:11 UTC 2016,Saturday,12:46:11,"Outstanding workshop at Joint Base Lewis McChord this week! Thank you to everyone who attended, and our Hire Heroes USA team onsite. For information on ALL of our transition workshops and links to register, you can always go to our website: http://www.hireheroesusa.org",11,0,0,PHOTO
Fri Sep 30 17:25:15 UTC 2016,Friday,17:25:15,Special thanks to Continuum Veterans Foundation for hosting us this week. We value & appreciate their continued support! #nav16 #empowervets #veterans,17,0,1,PHOTO
Fri Sep 30 14:00:00 UTC 2016,Friday,14:00:00,"In this week’s Veteran Spotlight, another side of late golf great Arnold Palmer that you might not have known. Long before he wore his first green jacket and was the namesake for a certain ice tea/lemonade concoction, he served his country in the United States Coast Guard. Learn more in  this amazing interview and article:  https://www.uscg.mil/history/faqs/Arnoldpalmer.asp",12,1,4,VIDEO
Fri Sep 30 01:41:19 UTC 2016,Friday,1:41:19,"It's an amazing opportunity for our veterans. This week we are partnering with the MINI John Cooper Works Racing Team at @RoadAtlanta. Driver Mark Pombo, a U.S. Army veteran who served during the first wave into Iraq, will have four of our veterans on his pit crew for Friday's race. Be sure to look for us when the race airs on Fox Sports!",49,3,21,PHOTO
Wed Sep 28 18:05:21 UTC 2016,Wednesday,18:05:21,"Colorado area veterans, military members and military spouses: Register today for our upcoming workshop in Colorado Springs, CO ! You can always check out all our upcoming workshops - and register for them - on our website.",15,0,5,LINK
