"Id","Name","ParentRoleId","RollupDescription","OpportunityAccessForAccountOwner","CaseAccessForAccountOwner","ContactAccessForAccountOwner","ForecastUserId","MayForecastManagerShare","LastModifiedDate","LastModifiedById","SystemModstamp","PortalAccountId","PortalType","PortalRole","PortalAccountOwnerId"
"00E50000000o80qEAA","Recruiter","000000000000000AAA","Recruiter","Edit","Edit","Edit","","0","2008-08-11 16:53:29","00550000000z4FcAAI","2016-08-05 02:12:15","","None","",""
"00E50000000o80rEAA","Accounting","00E50000000o80kEAA","Accounting","Edit","Edit","Edit","","0","2007-04-06 15:56:11","00550000000yo44AAA","2007-04-06 15:56:11","","None","",""
"00E50000000o80zEAA","Events Coordinator","00E50000000o80kEAA","Events Coordinator","Edit","Edit","Edit","","0","2007-06-08 21:35:08","00550000000yo44AAA","2007-06-08 21:35:08","","None","",""
"00E50000000oDmzEAE","Sourcer","00E50000000o80qEAA","Sourcer","Edit","Edit","Edit","","0","2007-06-08 17:26:01","00550000000xADhAAM","2007-06-08 17:26:01","","None","",""
"00E50000000oDn4EAE","Fundraiser","00E50000000o80rEAA","Fundraiser","Edit","Edit","Edit","","0","2007-06-07 23:36:39","00550000000xADhAAM","2007-06-07 23:36:39","","None","",""
"00E500000017tbtEAA","Candidates Customer Executive","00E50000000o80kEAA","Candidates Customer Executive","None","Edit","Edit","","0","2011-01-26 21:09:04","00550000000ztRtAAI","2015-05-01 13:29:39","0015000000KUwKAAA1","CustomerPortal","Executive",""
"00E500000017tbuEAA","Candidates Customer Manager","00E500000017tbtEAA","Candidates Customer Manager","None","Edit","Edit","","0","2011-01-26 17:53:24","00550000001W6bQAAS","2015-05-01 13:29:39","0015000000KUwKAAA1","CustomerPortal","Manager",""
"00E500000017tbvEAA","Candidates Customer User","00E500000017tbuEAA","Candidates Customer User","None","Edit","Edit","","0","2011-01-26 17:53:24","00550000001W6bQAAS","2015-05-01 13:29:39","0015000000KUwKAAA1","CustomerPortal","Worker",""
"00E50000001Nuu0EAC","Chief Programs Officer","000000000000000AAA","Programs","Edit","Edit","Edit","","0","2015-09-10 14:47:04","00550000002Ccz4AAC","2015-09-10 14:47:04","","None","",""
"00E50000001NuuAEAS","VP West Regional Manager","00E50000001Nuu0EAC","VP West","Edit","Edit","Edit","","0","2015-04-03 14:44:56","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuuFEAS","VP East Regional Manager","00E50000001Nuu0EAC","VP East","Edit","Edit","Edit","","0","2015-04-03 14:44:43","00550000002Ccz4AAC","2016-08-24 02:13:08","","None","",""
"00E50000001NuuKEAS","Alpharetta Area Manager","00E50000001NuuFEAS","Alpharetta","Edit","Edit","Edit","","0","2016-08-16 12:50:33","00538000004gsNsAAI","2016-08-18 06:10:46","","None","",""
"00E50000001NuuPEAS","Dallas Area Manager","00E50000001NuuFEAS","Dallas","Edit","Edit","Edit","","0","2016-03-25 16:47:22","00538000004gsNsAAI","2016-03-25 16:47:22","","None","",""
"00E50000001NuuUEAS","Raleigh Area Manager","00E50000001NuuFEAS","Raleigh","Edit","Edit","Edit","","0","2016-03-25 16:48:01","00538000004gsNsAAI","2016-03-25 16:48:01","","None","",""
"00E50000001NuuZEAS","San Diego Area Manager","00E50000001NuuAEAS","San Diego","Edit","Edit","Edit","","0","2016-03-25 16:49:12","00538000004gsNsAAI","2016-03-25 16:49:12","","None","",""
"00E50000001NuueEAC","Seattle Area Manager","00E50000001NuuAEAS","Seattle","Edit","Edit","Edit","","0","2016-03-25 16:49:30","00538000004gsNsAAI","2016-03-25 16:49:30","","None","",""
"00E50000001NuujEAC","Los Angeles Area Manager","00E50000001NuuAEAS","Los Angeles","Edit","Edit","Edit","","0","2016-03-25 16:48:55","00538000004gsNsAAI","2016-03-25 16:48:55","","None","",""
"00E50000001NuuoEAC","Colorado Springs Red Area Manager","00E50000001NuuAEAS","Colorado Springs Red","Edit","Edit","Edit","","0","2016-03-30 12:26:21","00538000004gsNsAAI","2016-03-30 12:26:21","","None","",""
"00E50000001NuvSEAS","Alpharetta VTS","00E50000001NuuKEAS","Alpharetta","Edit","Edit","Edit","","0","2016-08-16 13:02:47","00538000004gsNsAAI","2016-08-18 06:10:46","","None","",""
"00E50000001NuvXEAS","Dallas VTS","00E50000001NuuPEAS","Dallas","Edit","Edit","Edit","","0","2015-12-16 17:22:53","00538000004gsNsAAI","2015-12-16 17:22:53","","None","",""
"00E50000001NuvcEAC","Raleigh VTS","00E50000001NuuUEAS","Raleigh","Edit","Edit","Edit","","0","2015-01-23 15:21:15","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuvhEAC","Colorado Springs Red VTS","00E50000001NuuoEAC","Colorado Springs Red","Edit","Edit","Edit","","0","2016-03-30 12:27:03","00538000004gsNsAAI","2016-03-30 12:27:03","","None","",""
"00E50000001NuvmEAC","Los Angeles VTS","00E50000001NuujEAC","Los Angeles","Edit","Edit","Edit","","0","2015-06-01 18:35:54","00550000002Ccz4AAC","2015-06-01 18:35:54","","None","",""
"00E50000001NuvrEAC","San Diego VTS","00E50000001NuuZEAS","San Diego","Edit","Edit","Edit","","0","2015-01-23 15:26:29","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NuvwEAC","Seattle VTS","00E50000001NuueEAC","Seattle","Edit","Edit","Edit","","0","2015-01-23 15:26:55","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
"00E50000001NxcxEAC","Manager, Volunteer Program","00E50000001Nuu0EAC","Volunteer Program","Edit","Edit","Edit","","0","2015-09-10 14:45:34","00550000002Ccz4AAC","2015-09-10 14:45:34","","None","",""
"00E50000001Nxd2EAC","Outreach Volunteers","00E50000001NxcxEAC","Outreach Volunteers","Edit","Edit","Edit","","0","2015-02-04 19:16:26","00550000002Ccz4AAC","2016-09-17 12:46:11","","None","",""
"00E50000001O2jUEAS","Volunteer Coordinator","00E50000001NxcxEAC","Volunteer Coordinator","Edit","Edit","Edit","","0","2015-06-04 01:06:10","00550000000ztRtAAI","2016-09-17 12:46:11","","None","",""
"00E50000001O9vNEAS","Manager, Plans & Operations","00E50000001Nuu0EAC","Operations","Edit","Edit","Edit","","0","2015-03-17 18:11:05","00550000002Ccz4AAC","2016-05-04 01:49:52","","None","",""
"00E50000001O9vSEAS","Coordinator","00E50000001O9vNEAS","Operations","Edit","Edit","Edit","","0","2015-03-17 18:12:09","00550000002Ccz4AAC","2015-05-01 13:29:39","","None","",""
