filter,likes,comments,date,time(GMT/UTC),day_of_week
Normal,55,0,9/30/16,17:15:53,Friday
Normal,31,0,9/30/16,14:58:30,Friday
Normal,83,1,9/30/16,2:22:42,Friday
Normal,45,0,9/30/16,1:57:38,Friday
Normal,38,0,9/30/16,1:27:18,Friday
Normal,60,2,9/28/16,1:09:26,Wednesday
Amaro,78,2,9/25/16,19:25:18,Sunday
Normal,15,0,9/24/16,23:12:56,Saturday
Normal,52,2,9/24/16,13:56:24,Saturday
Normal,60,1,9/23/16,8:41:57,Friday
Normal,74,1,9/18/16,17:49:36,Sunday
Normal,54,1,9/17/16,11:30:27,Saturday
Normal,41,0,9/12/16,22:40:29,Monday
Normal,87,1,9/11/16,14:54:14,Sunday
Normal,71,3,9/11/16,1:38:20,Sunday
Normal,35,0,9/4/16,17:50:06,Sunday
Normal,52,1,9/4/16,1:36:57,Sunday
Normal,37,1,9/2/16,17:10:53,Friday
Normal,68,1,9/1/16,9:36:49,Thursday
Normal,43,0,8/31/16,14:51:39,Wednesday
Normal,85,1,8/28/16,14:15:21,Sunday
Clarendon,41,2,8/25/16,22:22:26,Thursday
Normal,46,5,8/20/16,21:26:49,Saturday
Clarendon,39,0,8/19/16,14:54:16,Friday
Normal,50,0,8/18/16,1:30:22,Thursday
Clarendon,57,0,8/17/16,2:24:05,Wednesday
Lark,53,0,8/14/16,13:41:24,Sunday
Normal,89,0,8/14/16,2:53:04,Sunday
Clarendon,31,1,8/13/16,14:41:42,Saturday
Normal,86,3,8/12/16,22:24:19,Friday
Clarendon,50,3,8/11/16,23:42:16,Thursday
Reyes,48,1,8/10/16,0:49:55,Wednesday
Clarendon,39,2,8/9/16,17:50:28,Tuesday
Normal,39,0,8/5/16,9:15:10,Friday
Normal,62,1,8/2/16,0:51:55,Tuesday
Normal,55,0,7/31/16,0:54:47,Sunday
Amaro,62,0,7/22/16,4:06:54,Friday
Normal,46,1,7/16/16,21:14:45,Saturday
Clarendon,34,1,7/16/16,12:26:59,Saturday
Lark,59,3,7/14/16,15:27:36,Thursday
Gingham,60,2,7/14/16,2:37:47,Thursday
Gingham,54,0,7/13/16,22:31:25,Wednesday
Normal,16,0,7/9/16,17:05:04,Saturday
Normal,47,1,7/7/16,10:13:00,Thursday
Normal,37,3,7/4/16,20:28:59,Monday
Normal,48,0,7/4/16,18:17:25,Monday
Normal,39,1,7/4/16,14:43:09,Monday
Normal,28,0,7/4/16,13:56:07,Monday
Normal,44,2,7/2/16,16:54:32,Saturday
Normal,52,1,7/1/16,22:27:27,Friday
Normal,36,1,6/25/16,11:05:09,Saturday
Normal,36,1,6/24/16,14:32:33,Friday
Normal,25,2,6/23/16,10:44:44,Thursday
Normal,28,2,6/21/16,23:29:11,Tuesday
Normal,47,2,6/20/16,23:15:14,Monday
Normal,24,2,6/19/16,16:14:33,Sunday
Normal,52,3,6/18/16,23:24:50,Saturday
Normal,56,5,6/18/16,12:23:24,Saturday
Normal,52,1,6/11/16,20:38:55,Saturday
Normal,37,1,6/6/16,9:18:29,Monday
Normal,56,4,6/4/16,2:12:34,Saturday
Lark,50,0,5/29/16,19:53:27,Sunday
Juno,28,0,5/28/16,13:31:29,Saturday
Normal,17,0,5/27/16,22:30:32,Friday
Normal,36,0,5/27/16,1:44:10,Friday
Normal,63,1,5/26/16,21:17:28,Thursday
Normal,34,0,5/11/16,20:57:09,Wednesday
Normal,30,0,5/11/16,14:28:49,Wednesday
Normal,22,1,4/30/16,13:57:59,Saturday
Normal,15,0,4/27/16,1:11:33,Wednesday
Normal,44,0,4/13/16,21:38:17,Wednesday
Normal,29,1,4/3/16,15:56:50,Sunday
Normal,28,0,4/3/16,1:54:23,Sunday
Normal,24,1,4/2/16,21:36:34,Saturday
Normal,20,0,4/2/16,17:20:29,Saturday
Normal,70,1,4/1/16,16:05:38,Friday
Normal,40,0,4/1/16,1:15:06,Friday
Normal,44,2,3/31/16,21:47:33,Thursday
Normal,19,0,3/26/16,13:47:44,Saturday
Normal,29,2,3/25/16,22:40:52,Friday
Normal,23,1,3/25/16,2:35:44,Friday
Lark,20,0,3/24/16,19:45:34,Thursday
Normal,45,3,3/22/16,22:18:59,Tuesday
Normal,27,0,3/17/16,19:53:42,Thursday
Normal,37,2,3/10/16,21:36:39,Thursday
Normal,19,0,3/9/16,14:57:11,Wednesday
Normal,24,0,3/7/16,19:19:36,Monday
Normal,19,0,3/1/16,19:10:31,Tuesday
Normal,19,0,2/23/16,14:45:41,Tuesday
Normal,27,0,2/18/16,18:59:26,Thursday
Normal,27,0,2/10/16,16:47:01,Wednesday
Normal,17,0,2/4/16,14:28:54,Thursday
Normal,21,2,2/1/16,14:27:31,Monday
Normal,17,0,1/28/16,16:36:59,Thursday
Normal,20,0,1/21/16,18:39:58,Thursday
Normal,13,0,1/14/16,18:55:04,Thursday
Normal,26,1,1/4/16,15:04:24,Monday
Normal,27,0,1/1/16,20:49:04,Friday
Normal,31,0,12/25/15,17:36:14,Friday
Normal,21,0,12/17/15,19:29:21,Thursday
Lark,24,0,12/15/15,21:42:39,Tuesday
Normal,17,0,12/14/15,17:15:38,Monday
Normal,18,0,12/10/15,15:37:06,Thursday
Normal,17,0,12/8/15,17:05:03,Tuesday
Normal,22,0,12/7/15,15:07:12,Monday
Normal,22,0,12/4/15,18:07:04,Friday
Normal,24,1,11/30/15,21:43:22,Monday
Normal,43,0,11/11/15,23:52:30,Wednesday
Gingham,18,0,11/11/15,22:38:57,Wednesday
Normal,17,0,11/11/15,21:49:33,Wednesday
Gingham,19,0,11/11/15,20:58:34,Wednesday
Normal,38,0,11/11/15,18:06:29,Wednesday
Crema,27,0,11/9/15,20:31:11,Monday
Slumber,18,2,11/6/15,14:56:39,Friday
Lark,20,0,11/3/15,18:06:00,Tuesday
Normal,15,0,11/2/15,16:31:59,Monday
Normal,16,0,11/1/15,19:56:57,Sunday
Normal,18,0,10/23/15,15:32:27,Friday
Normal,23,0,10/19/15,19:10:49,Monday
Normal,29,2,10/6/15,22:05:20,Tuesday
Normal,15,0,9/28/15,20:13:49,Monday
Normal,21,0,9/25/15,22:44:11,Friday
Gingham,23,0,9/24/15,21:27:11,Thursday
Crema,31,1,9/9/15,20:08:20,Wednesday
Normal,21,2,9/4/15,18:26:24,Friday
Normal,36,6,9/4/15,16:34:07,Friday
Normal,11,0,9/2/15,19:01:00,Wednesday
Ludwig,13,0,8/21/15,15:28:12,Friday
Juno,17,0,8/21/15,13:26:53,Friday
Normal,28,2,8/13/15,20:56:15,Thursday
Normal,18,0,8/7/15,20:49:11,Friday
Normal,18,0,8/7/15,20:44:51,Friday
Lark,25,0,7/28/15,21:37:38,Tuesday
Reyes,27,0,7/27/15,20:38:16,Monday
Lark,27,0,7/17/15,15:13:40,Friday
Normal,23,1,7/14/15,16:07:49,Tuesday
Normal,20,0,7/7/15,20:34:50,Tuesday
Lark,20,0,6/26/15,19:11:51,Friday
Slumber,17,0,6/17/15,17:58:25,Wednesday
Rise,29,0,6/5/15,12:44:17,Friday
Reyes,24,0,6/5/15,12:42:58,Friday
